participant,intro_salary,intro_capable,intro_efficient,intro_skilled,intro_intelligent,intro_independent,intro_motivated,intro_committed,intro_knowconsultants,capable,efficient,skilled,intelligent,independent,confident,aggressive,organized,motivated,committed_relative_others,pros_cons,exam_percentile,late_days,salary,likelihood_promoted,training_rec,hire_rec,manipulation,candidate_name,participant_sex,participant_parent
1458268,70000,5,6,6,6,5,6,6,0,7,7,7,5,6,7,5,7,7,6,"Pros: Generates large amounts of revenues. Has supervisory experience showing they can lead, and work independently. Years of experience.
Cons: There is a fair bit of indentitarian causes that would make me wonder if this person would be divisive, or troubling. Skill and Knowledge is about as vague as you can be, just an salad words that look good to employers. I just worry about authenticity.",50,1,140000,3,1,1,nonparent,allison,
1458268,70000,5,6,6,6,5,6,6,0,7,7,7,7,7,7,7,4,7,3,"Pros: Lots of different skills, Lots of profit, Adaptability
Cons: Lots of job turnover,Not a consistent role in those jobs. More internship than experience",10,3,150000,3,0,1,parent,sarah,
7821617,55000,5,6,5,5,6,6,4,0,6,6,6,5,5,6,5,6,5,6,"They applicant has extensive experience in business consultancy, they graduated with a masters in business and have performed admirably in their current job.

The applicant might be overqualified for the job, might demand a high salary and possibly be hindered by her outside work activities to commit fully.",85,1,140000,3,1,1,parent,allison,
7821617,55000,5,6,5,5,6,6,4,0,6,6,7,6,7,6,5,6,6,6,"The candidate has a strong educational background, they have established themselves at their current company with impressive results. They also have activities that show they are generous with their time to help people.

The applicant seems to be focused on sales a bit much and might demand a higher salary. Their extra activities could interfere with their job demands.",90,1,150000,3,1,1,nonparent,sarah,
6123270,60000,5,5,5,5,4,5,5,0,5,5,4,4,4,4,4,5,4,4,"pros: recent experience, strong education, strong skills
cons: lack of personal statement, lack of recommendations, lack of depth in activities",90,1,135000,1,0,0,nonparent,allison,
6123270,60000,5,5,5,5,4,5,5,0,6,6,6,6,5,5,4,5,5,5,"pros: lots of experience, no employment gaps, relevant experience
cons: no personal statement, no recommendations, no sign of team skills",90,2,140000,3,1,1,parent,sarah,
2453871,22,4,3,3,3,3,3,3,1,2,3,3,2,2,2,2,2,2,2,asasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasas,54,adas,44,4,0,0,parent,allison,
2453871,22,4,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,2,asasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasasas,31,3123,2112,3,1,1,nonparent,sarah,
3467660,40000,4,5,5,5,6,6,5,0,7,6,7,6,6,7,4,6,6,6,"1. Has Degree
2. analytical
3. leader

Cons:
1. NONE
1. NONE
1. NONE",80,3,175,4,1,1,parent,allison,
3467660,40000,4,5,5,5,6,6,5,0,5,4,5,4,5,3,4,6,5,4,"1. Volunteered
2. Worked at food bank
3. Has Degree

Cons:
1. Wasn't at previous position long
2. Doesn't have a lot of experience 
3. Will have to train",85,3,140,3,0,1,nonparent,sarah,
8191626,115000,7,7,7,7,7,7,7,0,7,7,7,7,7,5,5,7,7,7,"Pros
- Impressive educational background with relevant knowledge to management studied at university. 
- 8 years of high end on the job experience. Clearly capable at his her job and has a lot of experience to back up the studies she has done in the past.
- Clearly motivated to grow and improve any companies/business she is employed under. A real asset to any company.

Cons
- She is a women so others not take her very seriously. A serious sexism issue in society that can't be resolved so easily. The bias can possibly hamper her performance.
- While 8 years of experience is a lot, there may be other candidates with much greater amount of experience that can trump her experience.
- She has lots of public relation experience which may or may not translate over well to management. She has project management experience for at least half of her career i.e. 4 years, but that may not be enough to fill the needs of your company. Consultation is a job where huge experience is always preferable to little experience. ",90,15,145000,3,1,1,nonparent,allison,
8191626,115000,7,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7,"Pros
- She has lots of work experience. 8 years worth at least. In this 8 years she managed to work for the prestigious group alliant for roughly half a decade.
- Useful educational background that may help her in management consultant for your company. A master in business could be useful to allow her to give you powerful insight in how your company operates and how it can improve. She has also industrial management knowledge which boosts her skill set even to greater heights.  
- Based on the statistical information available on the resume, we can assume she knows how to manage company to make money and profits. Her resume indicates that she is very specific about her accomplishments.

Cons
- While she does work for a prestigious group now. Her previous 3 jobs before Alliant was a complete wash. While on paper she has 8 years of experience, the 3 jobs from 2007 - 2012 might as well be no experience considering how utterly worthless those experiences were. It almost looks like fluff just to make her resume look longer. 
- She is a women, so biases against her for being a women can be a problem in a management consulting position. 
- She uses hotmail, a very impersonal email which is telling of her technological experience. This may or may not impact her work as a management consultant. ",80,25,165000,4,1,1,parent,sarah,
2345186,30000,5,6,5,6,5,5,6,0,6,5,6,5,1,6,1,6,6,4,"• she is a woman, and women tend to be more focused
•she comes from a respected school
• she has worked s both a product and sales associate

•she is a woman and might not fit well working with other men.
• she does not have experience needed
•she managed e commerce vendor relationships not in person",63,2,175000,3,0,1,nonparent,allison,
2345186,30000,5,6,5,6,5,5,6,0,6,7,6,5,6,7,6,7,5,6,"She is a woman and companies that hire without worrying about gender are high on the social ladder.
She designed and launched a new plan design for a theater company.
She is am aster of business marketing

Cons are she is a woman and she might not live up to potential if she fits the mold
She didn't go to a respected university.
She might not like working around men.",82,3,135000,2,1,1,parent,sarah,
3427912,80000,7,7,7,7,7,7,7,1,5,6,7,7,6,7,7,7,6,6,"pros: socially conscious, a lot of management experience, public relations experience
cons: After looking over the resume, I can't really find any cons about this particular potential employee. ",98,6,170000,3,1,1,nonparent,allison,
